dataset	ID	subject	session	run	gender	age	genotype	strain	condition	mediso_ctl	Field	Coil	sequence	TR	TE	FA	volume	year	anesthesia	ventilation	dataset_ref	dataset_DOI	publication_PMID	publication_DOI	diagnostic
AD1	1	1282	a	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297104	10.1523/JNEUROSCI.4762-13.2013	pass
AD1	2	1282	c	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297104	10.1523/JNEUROSCI.4762-13.2014	pass
AD1	3	1283	c	1	F	1	wild-type	B6	ArcAbeta_ctl	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297108	10.1523/JNEUROSCI.4762-13.2018	pass
AD1	4	1284	c	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297112	10.1523/JNEUROSCI.4762-13.2022	pass
AD1	5	1284	d	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297113	10.1523/JNEUROSCI.4762-13.2023	pass
AD1	6	1284	e	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297114	10.1523/JNEUROSCI.4762-13.2024	pass
AD1	7	1285	b	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297115	10.1523/JNEUROSCI.4762-13.2025	pass
AD1	8	1285	c	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297116	10.1523/JNEUROSCI.4762-13.2026	pass
AD1	9	1285	d	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297117	10.1523/JNEUROSCI.4762-13.2027	pass
AD1	10	1285	e	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297118	10.1523/JNEUROSCI.4762-13.2028	pass
AD1	11	1286	c	1	F	1	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297120	10.1523/JNEUROSCI.4762-13.2030	pass
AD1	12	1286	d	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297121	10.1523/JNEUROSCI.4762-13.2031	pass
AD1	13	1286	e	1	F	2	ArcAbeta	B6	ArcAbeta_TG	no	9.4	CryoPA	SE-GE-EPI	1500	9.3	50	500	2014	iso1.5	no	https://central.xnat.org/data/projects/fMRI_AD_mouse	NA	25297122	10.1523/JNEUROSCI.4762-13.2032	pass
